Year,Month,Sex,Age_Group,Death
2020,3,Male,Under 1 year,2
2020,3,Male,0-17 years,6
2020,3,Male,1-4 years,1
2020,3,Male,5-14 years,2
2020,3,Male,15-24 years,11
2020,3,Male,18-29 years,36
2020,3,Male,25-34 years,70
2020,3,Male,30-39 years,123
2020,3,Male,35-44 years,170
2020,3,Male,40-49 years,249
2020,3,Male,45-54 years,375
2020,3,Male,50-64 years,933
2020,3,Male,55-64 years,716
2020,3,Male,65-74 years,1037
2020,3,Male,75-84 years,1105
2020,3,Male,85 years and over,836
2020,3,Female,Under 1 year,1
2020,3,Female,0-17 years,1
2020,3,Female,1-4 years,0
2020,3,Female,5-14 years,0
2020,3,Female,15-24 years,2
2020,3,Female,18-29 years,11
2020,3,Female,25-34 years,30
2020,3,Female,30-39 years,41
2020,3,Female,35-44 years,65
2020,3,Female,40-49 years,95
2020,3,Female,45-54 years,145
2020,3,Female,50-64 years,415
2020,3,Female,55-64 years,320
2020,3,Female,65-74 years,579
2020,3,Female,75-84 years,759
2020,3,Female,85 years and over,855
2020,4,Male,Under 1 year,2
2020,4,Male,0-17 years,7
2020,4,Male,1-4 years,0
2020,4,Male,5-14 years,3
2020,4,Male,15-24 years,55
2020,4,Male,18-29 years,154
2020,4,Male,25-34 years,295
2020,4,Male,30-39 years,519
2020,4,Male,35-44 years,801
2020,4,Male,40-49 years,1341
2020,4,Male,45-54 years,2252
2020,4,Male,50-64 years,6658
2020,4,Male,55-64 years,5271
2020,4,Male,65-74 years,8687
2020,4,Male,75-84 years,9791
2020,4,Male,85 years and over,8541
2020,4,Female,Under 1 year,2
2020,4,Female,0-17 years,9
2020,4,Female,1-4 years,1
2020,4,Female,5-14 years,2
2020,4,Female,15-24 years,28
2020,4,Female,18-29 years,76
2020,4,Female,25-34 years,135
2020,4,Female,30-39 years,196
2020,4,Female,35-44 years,309
2020,4,Female,40-49 years,555
2020,4,Female,45-54 years,926
2020,4,Female,50-64 years,3227
2020,4,Female,55-64 years,2660
2020,4,Female,65-74 years,5058
